y16,y17,y18
317.0500444,263.7186571,313.0422
348.9027077,306.1178824,223.1572
229.83532,180.0240615,326.2488667
371.0272889,281.5903333,274.4611818
386.1637143,336.7224533,237.1586444
258.8518769,209.0848571,238.865875
301.2616,216.0448333,311.6749333
257.5609714,369.1507429,238.984
309.6869,287.9305333,276.5412615
206.5492,245.5612,232.6890857
230.1743143,317.5894667,266.9947529
266.65035,339.7436,253.6436444
264.7148444,269.3809333,254.0284154
340.3782,153.71785,308.00765
410.0219429,310.28685,289.093775
260.0076571,282.81664,385.35388
221.5757333,307.6686769,222.0311333
255.7765455,346.8536571,188.6573091
256.76104,278.1267375,155.7351733
431.97996,342.0911273,225.8100889
237.31404,256.58772,241.6528
188.7100533,309.4686,274.87185
336.308,274.4301846,169.0442462
215.9203429,372.5162857,321.6613778
329.5485714,170.2996727,262.0414857
346.9561333,290.4385875,360.98115
221.52204,263.7475556,260.9066222
380.90812,394.86705,293.7866333
257.0430222,262.6039111,219.7799667
382.3167,301.790875,365.86325
194.9995111,210.4141556,366.96675
248.13595,299.0132,283.5092364
321.5614333,259.6413,378.1934588
337.61432,294.2693143,245.21025
290.9673273,270.6773333,363.8874182
390.80382,324.01912,273.624025
264.9336,320.6434,298.4020364
257.335,226.5690222,242.6015385
234.2130286,347.2372,257.0544333
468.86984,222.7717333,296.81945
377.0781143,204.39104,433.9199429
270.3746,263.2424,288.1844
341.6629429,227.5513231,219.2076
356.3836,292.587,365.15706
246.0671733,274.6220286,397.6390545
179.7624,161.394,255.6119333
317.884375,433.0169,144.3123818
100.8509,327.0195,274.2238533
261.85724,353.4809,269.574425
143.7964667,284.6837,243.93476
169.4782615,389.9714667,183.1456615
395.2582,288.3478571,268.3412
226.486875,306.1819077,216.9670667
283.4099111,249.4278133,198.6101
245.2614286,285.4051059,279.30725
201.86192,280.1559556,174.6567556
244.2574,317.4629222,250.2631692
222.00576,277.8095,268.8567636
305.0233176,224.14416,273.63756
236.3845,201.28315,277.4877867
258.2424444,325.6780615,237.6937
286.6157556,228.2892,152.084825
343.7115429,186.2754909,314.5209231
188.62445,250.5886333,179.4369
365.2128,331.3901818,280.0552471
389.83285,254.1344235,212.50532
333.5386308,266.8807,298.38432
183.9488,244.6859765,252.7292909
280.1899692,390.09656,363.24804
308.9998857,223.254,290.3904
193.39815,242.9122857,310.9526
165.17705,298.42674,317.65244
356.0403,261.7364667,195.8911556
184.7463385,334.7982154,207.8671667
304.4698667,417.5168571,211.6492667
288.0923636,332.9524167,347.5620364
489.98744,283.0789714,351.4899333
293.8790857,241.7686462,142.26488
347.7968571,252.8728154,318.9928333
336.9517778,335.4343333,298.2256
353.1788,296.68644,440.1006857
276.7590889,216.8157833,254.5074
260.96008,278.19896,270.4957176
320.2192615,324.8634933,215.4414909
289.0144,269.8296,237.3754
177.3185714,445.0690222,334.4996308
